year,ge_eid,ge_week,ge_wday,ge_date,ge_time,home_te,away_te,score_home,score_away,fumbles_tot,rushing_yds,home,rushing_twopta,fumbles_lost,rushing_tds,receiving_rec,receiving_twopta,receiving_yds,rushing_att,rushing_lngtd,fumbles_yds,receiving_lng,pos,receiving_tds,bdate,ne,fumbles_trcv,rushing_twoptm,rushing_lng,te,passing_tds,points,5wavyds,5Wavatt,5Wavtd,5wanrec,5wavrecyds,5wkavrectd
2010,2010091914,2,Sun,40440,8:20 AM,IND,NYG,38,14,,89,no,0,,0,,,,17,0,,,RB,,31490,A.Bradshaw,,0,12,NYG,,8.9,38,10,0.5,1,8.5,0
2010,2010092600,3,Sun,40447,1:00 AM,NYG,TEN,10,29,1,88,yes,0,1,1,5,0,30,15,10,0,12,RB,0,31490,A.Bradshaw,0,0,22,NYG,,15.8,44.5,8.5,0,0,0,0
2010,2010100312,4,Sun,40454,8:20 AM,NYG,CHI,17,3,1,129,yes,0,1,1,2,0,14,23,3,0,11,RB,0,31490,A.Bradshaw,0,0,25,NYG,,18.3,44,7.5,0.5,2.5,15,0
2010,2010101008,5,Sun,40461,1:00 AM,HOU,NYG,10,34,,67,no,0,,0,3,0,22,16,0,,9,RB,0,31490,A.Bradshaw,,0,23,NYG,,8.9,64.5,11.5,0.5,1,7,0
2010,2010101705,6,Sun,40468,1:00 AM,NYG,DET,28,20,,133,yes,0,,0,2,0,10,19,0,,11,RB,0,31490,A.Bradshaw,,0,45,NYG,,14.3,89.8,18.2,0.6,2.4,16.6,0
2010,2010102500,7,Mon,40476,8:30 AM,DAL,NYG,35,41,1,126,no,0,1,0,2,0,12,24,0,0,10,RB,0,31490,A.Bradshaw,0,0,22,NYG,,11.8,101.2,18,0.4,2.4,15.2,0
2010,2010110708,9,Sun,40489,4:05 AM,SEA,NYG,7,41,,57,no,0,,2,4,0,35,19,4,,13,RB,0,31490,A.Bradshaw,,0,7,NYG,,21.2,108.6,19.4,0.4,2.8,17.6,0
2010,2010111408,10,Sun,40496,4:15 AM,NYG,DAL,20,33,1,73,yes,0,0,0,6,0,62,20,0,0,18,RB,0,31490,A.Bradshaw,0,0,9,NYG,,11.5,102.4,20.2,0.6,2.6,18.6,0
2010,2010112113,11,Sun,40503,8:20 AM,PHI,NYG,27,17,1,29,no,0,1,0,2,0,-5,12,0,0,2,RB,0,31490,A.Bradshaw,0,0,17,NYG,,0.4,91.2,19.6,0.4,3.4,28.2,0
2010,2010112800,12,Sun,40510,1:00 AM,NYG,JAC,24,20,,49,yes,1,,0,4,0,34,9,0,,12,RB,0,31490,A.Bradshaw,,1,27,NYG,,8.3,83.6,18.8,0.4,3.2,22.8,0
2010,2010120504,13,Sun,40517,1:00 AM,NYG,WAS,31,7,,97,yes,0,,2,1,0,8,25,10,,8,RB,0,31490,A.Bradshaw,,0,15,NYG,,22.5,66.8,16.8,0.4,3.6,27.6,0
2010,2010121301,14,Mon,40525,7:20 AM,MIN,NYG,3,21,,103,no,0,,1,5,0,12,11,48,,4,RB,0,31490,A.Bradshaw,,0,48,NYG,,17.5,61,17,0.8,3.4,26.8,0
2010,2010121906,15,Sun,40531,1:00 AM,NYG,PHI,31,38,,66,yes,0,,0,2,0,14,19,0,,11,RB,0,31490,A.Bradshaw,,0,9,NYG,,8,70.2,15.4,0.6,3.6,22.2,0
2010,2010122611,16,Sun,40538,4:15 AM,GB,NYG,45,17,1,31,no,0,1,0,5,0,41,12,0,0,13,RB,0,31490,A.Bradshaw,0,0,7,NYG,,5.2,68.8,15.2,0.6,2.8,12.6,0
2010,2011010208,17,Sun,40180,4:15 AM,WAS,NYG,14,17,,22,no,0,,0,2,0,8,15,0,,8,RB,0,31490,A.Bradshaw,,0,4,NYG,,3,69.2,15.2,0.6,3.4,21.8,0
2011,2011091108,1,Sun,40797,4:15 AM,WAS,NYG,28,14,,44,no,0,,1,1,0,10,13,6,,10,RB,0,31490,A.Bradshaw,,0,7,NYG,,11.4,63.8,16.4,0.6,3,16.6,0
2011,2011091900,2,Mon,40805,8:30 AM,NYG,STL,28,16,,59,yes,0,,0,5,0,45,15,0,,23,RB,0,31490,A.Bradshaw,,0,15,NYG,,10.4,53.2,14,0.4,3,17,0
2011,2011092505,3,Sun,40811,1:00 AM,PHI,NYG,16,29,,86,no,0,,0,5,0,53,15,0,,26,RB,1,31490,A.Bradshaw,,0,37,NYG,,19.9,44.4,14.8,0.2,3,23.6,0
